function type time price
256 limit 50219 0.000802308
256 real 48776 0.000773535
256 sdbws 46569 0.000802308

512 limit 37485 0.00116343
512 real 33754 0.001120896
512 sdbws 33214 0.00116343

1024 limit 25785 0.001645329
1024 real 26033 0.001648663
1024 sdbws 22568 0.001645329

1536 limit 30306 0.002423469
1536 real 29520 0.002333433
1536 sdbws 25195 0.002423469

2048 limit 24704 0.002890578
2048 real 25349 0.00276722
2048 sdbws 20783 0.002890578

2560 limit 31218 0.003963768
2560 real 31710 0.004017952
2560 sdbws 27001 0.003963768

3008 limit 24486 0.004093892
3008 real 29274 0.004564004
3008 sdbws 20213 0.004093892
