type time price
256-l 50219 0.000802308
256-r 48776 0.000773535
256-s 46569 0.000802308
512-l 37485 0.00116343
512-r 33754 0.001120896
512-s 33214 0.00116343
1024-l 25785 0.001645329
1024-r 26033 0.001648663
1024-s 22568 0.001645329
1536-l 30306 0.002423469
1536-r 29520 0.002333433
1536-s 25195 0.002423469
2048-l 24704 0.002890578
2048-r 25349 0.00276722
2048-s 20783 0.002890578
2560-l 31218 0.003963768
2560-r 31710 0.004017952
2560-s 27001 0.003963768
3008-l 24486 0.004093892
3008-r 29274 0.004564004
3008-s 20213 0.004093892
