type time price
256 50219 0.000802308
real 48776 0.000773535
sdbws 46569 0.000802308

512 37485 0.00116343
real 33754 0.001120896
sdbws 33214 0.00116343

1024 25785 0.001645329
real 26033 0.001648663
sdbws 22568 0.001645329

1536 30306 0.002423469
real 29520 0.002333433
sdbws 25195 0.002423469

2048 24704 0.002890578
real 25349 0.00276722
sdbws 20783 0.002890578

2560 31218 0.003963768
real 31710 0.004017952
sdbws 27001 0.003963768

3008 24486 0.004093892
real 29274 0.004564004
sdbws 20213 0.004093892
